test_id,data,hora,nome_fantasia,message
0,17/06/25,10:44:14,interlocutor_1,"‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them."
1,17/06/25,10:44:14,interlocutor_2,<ORGANIZATION> “<ORGANIZATION> <> Greenlab”
2,17/06/25,10:44:15,interlocutor_1,<ORGANIZATION>
3,17/06/25,10:44:21,interlocutor_2,"Oi pessoal, bom dia!"
4,17/06/25,10:44:28,interlocutor_2,Finalizamos o <LOCATION>
5,17/06/25,10:44:40,interlocutor_2,Novo cliente nosso para <ORGANIZATION> no <LOCATION>
6,17/06/25,10:45:11,interlocutor_2,<LOCATION> pode adicionar outras pessoas do seu lado
7,17/06/25,10:45:26,interlocutor_3,Grande <LOCATION> !
8,17/06/25,10:46:16,interlocutor_4,Opa!
9,17/06/25,10:46:23,interlocutor_5,Mi amigo <PERSON>!!!
10,17/06/25,10:46:27,interlocutor_5,<LOCATION> aqui!!
11,17/06/25,10:46:34,interlocutor_4,Grande @<PHONE_NUMBER>!
12,17/06/25,10:46:35,interlocutor_5,🚀
13,17/06/25,10:46:44,interlocutor_4,Fala <LOCATION>!
14,17/06/25,10:47:27,interlocutor_2,<LOCATION> agora esta com um laboratorio de plantas Verdes no <LOCATION>
15,17/06/25,10:47:45,interlocutor_2,Aqui na <LOCATION> do Rio
16,17/06/25,10:47:54,interlocutor_4,hahahaha
17,17/06/25,10:48:03,interlocutor_2,<PERSON>
18,17/06/25,10:48:09,interlocutor_2,É sócio
19,17/06/25,10:48:12,interlocutor_2,Kkkkkkk
20,17/06/25,10:48:44,interlocutor_4,hahahaha
21,17/06/25,10:53:52,interlocutor_4,100k <PERSON> indicativo
22,17/06/25,10:57:30,interlocutor_6,4990
23,17/06/25,10:57:46,interlocutor_6,fala <PERSON>!
24,17/06/25,14:04:59,interlocutor_4,<LOCATION> 100k usdt
25,17/06/25,14:05:13,interlocutor_4,<LOCATION>!
26,17/06/25,14:09:03,interlocutor_4,<LOCATION> 100k usdt
27,17/06/25,14:09:20,interlocutor_6,5140
28,17/06/25,14:09:36,interlocutor_4,off
29,18/06/25,10:29:06,interlocutor_4,100k usdt
30,18/06/25,10:29:24,interlocutor_7,5135
31,18/06/25,10:30:45,interlocutor_4,‎This message was deleted.
