test_id,data,hora,nome_fantasia,message
1000,06/08/25,11:10:41,interlocutor_4,130k
1001,06/08/25,11:10:46,interlocutor_4,cotação pfvr?
1002,06/08/25,11:11:06,interlocutor_7,4930
1003,06/08/25,11:11:39,interlocutor_7,<LOCATION>
1004,06/08/25,11:12:12,interlocutor_4,fecha
1005,06/08/25,11:12:24,interlocutor_7,<LOCATION>
1006,06/08/25,11:13:31,interlocutor_7,"BRL 714,090.00 // USDT 130.000"
1069,07/08/25,09:08:04,interlocutor_4,"Bom dia, mesa on?"
1070,07/08/25,09:09:18,interlocutor_6,bom dia
1071,07/08/25,09:09:19,interlocutor_6,mesa on
1072,07/08/25,09:09:32,interlocutor_4,<LOCATION>.
1073,07/08/25,09:36:52,interlocutor_4,100k
1074,07/08/25,09:36:58,interlocutor_4,cotação
1075,07/08/25,09:37:11,interlocutor_7,1s
1076,07/08/25,09:37:58,interlocutor_7,4820
1077,07/08/25,09:38:03,interlocutor_7,<LOCATION>
1078,07/08/25,09:38:14,interlocutor_4,ok
1079,07/08/25,09:38:18,interlocutor_4,fecha
1080,07/08/25,09:39:09,interlocutor_7,<LOCATION>
1081,07/08/25,09:39:29,interlocutor_7,"BRL 548,200.00 // USDT 100.000"
1082,07/08/25,09:44:43,interlocutor_4,100k novamente
1083,07/08/25,09:44:54,interlocutor_4,rapidão <LOCATION>
1084,07/08/25,09:45:05,interlocutor_7,4810
1085,07/08/25,09:45:21,interlocutor_4,fecha
1086,07/08/25,09:45:26,interlocutor_7,<LOCATION>
1087,07/08/25,09:45:54,interlocutor_7,"BRL 548,100.00 // USDT 100.000"
