test_id,data,hora,nome_fantasia,message
1000,06/08/25,11:10:41,interlocutor_1,130k
1001,06/08/25,11:10:46,interlocutor_1,cotação pfvr?
1002,06/08/25,11:11:06,interlocutor_2,4930
1003,06/08/25,11:11:39,interlocutor_2,<LOCATION>
1004,06/08/25,11:12:12,interlocutor_1,fecha
1005,06/08/25,11:12:24,interlocutor_2,<LOCATION>
1006,06/08/25,11:13:31,interlocutor_2,"BRL 714,090.00 // USDT 130.000"
1007,07/08/25,09:08:04,interlocutor_1,"Bom dia, mesa on?"
1008,07/08/25,09:09:18,interlocutor_3,bom dia
1009,07/08/25,09:09:19,interlocutor_3,mesa on
1010,07/08/25,09:09:32,interlocutor_1,<LOCATION>.
1011,07/08/25,09:36:52,interlocutor_1,100k
1012,07/08/25,09:36:58,interlocutor_1,cotação
1013,07/08/25,09:37:11,interlocutor_2,1s
1014,07/08/25,09:37:58,interlocutor_2,4820
1015,07/08/25,09:38:03,interlocutor_2,<LOCATION>
1016,07/08/25,09:38:14,interlocutor_1,ok
1017,07/08/25,09:38:18,interlocutor_1,fecha
1018,07/08/25,09:39:09,interlocutor_2,<LOCATION>
1019,07/08/25,09:39:29,interlocutor_2,"BRL 548,200.00 // USDT 100.000"
1020,07/08/25,09:44:43,interlocutor_1,100k novamente
1021,07/08/25,09:44:54,interlocutor_1,rapidão <LOCATION>
1022,07/08/25,09:45:05,interlocutor_2,4810
1023,07/08/25,09:45:21,interlocutor_1,fecha
1024,07/08/25,09:45:26,interlocutor_2,<LOCATION>
1025,07/08/25,09:45:54,interlocutor_2,"BRL 548,100.00 // USDT 100.000"
