test_id,timestamp,sender,message
1000,17/06/25 10:44:14,interlocutor_1,"‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them."
1001,17/06/25 10:44:14,interlocutor_2,‎CADU Russo created group “BGX <> Greenlab”
1002,17/06/25 10:44:15,interlocutor_1,‎CADU Russo added you
1003,17/06/25 10:44:21,interlocutor_2,"Oi pessoal, bom dia!"
1004,17/06/25 10:44:28,interlocutor_2,Finalizamos o onboarding da Greenlab
1005,17/06/25 10:44:40,interlocutor_2,Novo cliente nosso para OTC no Brasil
1006,17/06/25 10:45:11,interlocutor_2,<PHONE> pode adicionar outras pessoas do seu lado
1007,17/06/25 10:45:26,interlocutor_3,Grande <PHONE> !
1008,17/06/25 10:46:16,interlocutor_4,Opa!
1009,17/06/25 10:46:23,interlocutor_5,Mi amigo Maynard!!!
1010,17/06/25 10:46:27,interlocutor_5,Nuriel aqui!!
1011,17/06/25 10:46:34,interlocutor_4,Grande <PHONE>!
1012,17/06/25 10:46:35,interlocutor_5,🚀
1013,17/06/25 10:46:44,interlocutor_4,Fala <PHONE> Nuriel!
1014,17/06/25 10:47:27,interlocutor_2,<PHONE> agora esta com um laboratorio de plantas Verdes no Brasil
1015,17/06/25 10:47:45,interlocutor_2,Aqui na Zona Sul do Rio
1016,17/06/25 10:47:54,interlocutor_4,hahahaha
1017,17/06/25 10:48:03,interlocutor_2,Marquito
1018,17/06/25 10:48:09,interlocutor_2,É sócio
1019,17/06/25 10:48:12,interlocutor_2,Kkkkkkk
1020,17/06/25 10:48:44,interlocutor_4,hahahaha
1021,17/06/25 10:53:52,interlocutor_4,100k USDT indicativo
1022,17/06/25 10:57:30,interlocutor_6,4990
1023,17/06/25 10:57:46,interlocutor_6,fala maynard!
1024,17/06/25 14:04:59,interlocutor_4,ref 100k usdt
1025,17/06/25 14:05:13,interlocutor_4,Grande Medina!
1026,17/06/25 14:09:03,interlocutor_4,ref 100k usdt
1027,17/06/25 14:09:20,interlocutor_6,5140
1028,17/06/25 14:09:36,interlocutor_4,off
1029,18/06/25 10:29:06,interlocutor_4,100k usdt
1030,18/06/25 10:29:24,interlocutor_7,5135
1031,18/06/25 10:30:45,interlocutor_4,‎This message was deleted.
1032,18/06/25 10:33:06,interlocutor_8,5.5135
1033,18/06/25 10:43:19,interlocutor_4,off
1034,18/06/25 10:43:42,interlocutor_7,off
1035,18/06/25 10:48:00,interlocutor_4,100k usdt
1036,18/06/25 10:48:19,interlocutor_7,5122
1037,18/06/25 10:49:13,interlocutor_4,off
1038,18/06/25 10:49:24,interlocutor_7,off
1039,18/06/25 10:50:24,interlocutor_4,"Tenho 0.44 bloomberg agora, tem como a gente trabalhar nessa faixa?"
1040,18/06/25 10:50:39,interlocutor_5,nao tem
1041,18/06/25 10:51:04,interlocutor_5,"o spread é dinâmico, tentamos ao máximo mandar o melhor preço"
1042,18/06/25 14:06:20,interlocutor_4,"Galera, se o spread de vocês é dinâmico não querem explorar a oportunidade de comprar da gente? A gente pode vender pra vocês quando o spread não for tão favorável."
