value
"61,8"
"139,2"
5.163
4.286
4.171
"8,00"
"6,95"
"7,65"
"2,2%"
"1,7%"
"7,50"
"6,45"
"6,90"
"5,90"
"7,60"
"6,55"
"7,00"
"6,00"
"6,45"
"5,40"
"1,5%"
"1,7%"
"2,2%"
"1,7%"
"6,95"
"5,90"
"5,80"
"5,90"
"5,25"
"5,45"
"1,9%"
"1,9%"
"1,9%"
"5,35"
"5,99"
"3,1%"
"6,5%"
"3,70"
"2,85"
"4,8%"
"2,95"
"3,85"
"3,45"
"4,00"
"5,10"
"4,10"
"5,20"
"4,55"
"2,2%"
"8,3%"
"8,3%"
"4,65"
"4,05"
"3,95"
"4,15"
"3,95"
"5,3%"
"8,2%"
"6,8%"
"3,65"
"4,25"
"5,30"
"6,30"
"5,80"
"0,0%"
"5,30"
"6,30"
"5,80"
"3,6%"
"1,8%"
"5,10"
"5,90"
"5,50"
"0,0%"
"5,10"
"5,90"
"5,50"
"3,8%"
"1,9%"
"7,20"
"7,70"
"7,30"
"8,60"
"7,80"
"1,3%"
"1,3%"
"4,1%"
"7,10"
"6,60"
"7,20"
"6,70"
"6,25"
"1,5%"
"1,5%"
"4,8%"
"6,35"
"6,05"
"7,05"
"0,0%"
"0,0%"
"0,0%"
"7,20"
"6,35"
"6,15"
"6,45"
"4,90"
"5,40"
"0,0%"
"0,0%"
"0,0%"
"5,00"
"5,90"
"6,25"
"6,35"
"6,40"
"7,50"
"0,0%"
"0,0%"
"7,00"
"6,95"
"3,7%"
"6,45"
"7,55"
"5,90"
"6,90"
"0,0%"
"0,0%"
"4,0%"
"6,50"
"6,45"
"5,95"
"6,95"
"6,10"
"0,0%"
"0,0%"
"5,60"
"6,60"
"5,55"
"6,55"
"4,3%"
"6,15"
"3,30"
"2,80"
"3,60"
"2,75"
"3,55"
"3,1%"
"4,8%"
"13,8%"
"3,35"
"6,70"
"6,05"
"5,90"
"5,30"
"6,80"
"6,10"
"5,85"
"5,25"
"6,15"
"5,55"
"2,5%"
"2,8%"
"2,5%"
"2,8%"
"3,4%"
"2,8%"
"6,25"
"5,65"
"3,0%"
"3,0%"
"4,0%"
"4,90"
"5,60"
"4,85"
"5,55"
"5,15"
"5,25"
"1,80"
"2,60"
"2,20"
"2,3%"
"4,8%"
"4,8%"
"1,85"
"2,65"
"2,25"
"5,60"
"7,05"
"0,0%"
"0,0%"
"7,10"
"6,40"
"6,35"
"3,3%"
"5,65"
"5,10"
"5,70"
"0,0%"
"0,0%"
"6,20"
"6,15"
"3,6%"
"5,15"
"5,75"
"5,70"
"0,0%"
"0,0%"
"5,40"
"6,40"
"5,35"
"6,35"
"1,8%"
"5,75"
"0,0%"
"0,0%"
"1,0%"
"4,40"
"5,60"
"4,90"
"4,35"
"5,55"
"4,85"
"6,95"
"2,8%"
"7,45"
"0,7%"
"1,4%"
"8,00"
"7,55"
"7,90"
"7,05"
"6,85"
"6,75"
"3,1%"
"6,35"
"7,30"
"6,25"
"7,20"
"0,7%"
"1,5%"
"6,50"
"6,10"
"6,60"
"5,60"
"3,4%"
"5,70"
"6,20"
"1,7%"
"0,8%"
"7,8%"
"3,05"
"4,05"
"2,95"
"1,5%"
"3,95"
"3,45"
"4,5%"
"3,55"
"4,95"
"4,50"
"6,05"
"5,20"
"0,9%"
"1,0%"
"0,0%"
"0,0%"
"5,00"
"4,55"
"6,10"
"5,25"
"5,55"
"4,90"
"0,0%"
"0,0%"
"5,60"
"4,95"
"3,65"
"4,70"
"4,65"
"4,15"
"0,0%"
"3,70"
"4,20"
"0,0%"
"1,2%"
"3,00"
"2,95"
"1,7%"
"2,45"
"1,7%"
"2,50"
"3,50"
"3,45"
"11,3%"
"4,00"
"2,3%"
"5,00"
"4,40"
"7,3%"
"4,10"
"3,5%"
"4,50"
"4,95"
"3,90"
"3,55"
"4,00"
"4,20"
"5,4%"
"5,4%"
"3,65"
"4,30"
"11,4%"
"4,5%"
"3,90"
"3,80"
"4,5%"
"3,25"
"3,45"
"3,15"
"3,55"
"15,0%"
"2,35"
"2,60"
"2,35"
"2,90"
"2,60"
"2,90"
"-3,7%"
"-13,3%"
"-5,5%"
"1,60"
"2,40"
"2,40"
"2,05"
"-8,9%"
"-6,8%"
"-12,8%"
"1,60"
"2,05"
"0,7%"
"7,85"
"6,45"
"7,15"
"1,4%"
"2,9%"
"6,55"
"7,25"
"6,40"
"5,45"
"5,90"
"5,35"
"6,30"
"3,6%"
"5,80"
"0,9%"
"1,8%"
"4,75"
"5,85"
"4,80"
"0,0%"
"0,0%"
"5,30"
"0,0%"
"5,35"
"5,90"
"3,45"
"4,90"
"4,15"
"0,0%"
"0,0%"
"0,0%"
"3,50"
"4,95"
"4,20"
"8,40"
"9,50"
"8,90"
"6,0%"
"8,60"
"9,70"
"9,00"
"2,3%"
"3,5%"
"7,90"
"8,30"
"8,00"
"8,90"
"8,75"
"1,8%"
"1,2%"
"3,8%"
"8,45"
"6,40"
"6,25"
"7,10"
"6,90"
"6,80"
"6,60"
"10,6%"
"10,0%"
"4,6%"
"4,8%"
"17,2%"
"17,9%"
"6,55"
"6,40"
"7,25"
"7,20"
"6,95"
"6,80"
"4,20"
"4,80"
"6,0%"
"20,3%"
"4,40"
"5,00"
"4,45"
"23,6%"
"4,75"
"6,40"
"6,20"
"7,00"
"6,80"
"6,80"
"6,50"
"10,6%"
"12,1%"
"6,50"
"6,30"
"7,20"
"7,00"
"4,6%"
"4,0%"
"19,3%"
"20,4%"
"6,95"
"6,65"
"4,10"
"4,60"
"4,40"
"4,30"
"4,60"
"11,4%"
"25,7%"
"46,7%"
"4,85"
"6,40"
"6,70"
"6,50"
"7,10"
"6,90"
"6,95"
"4,7%"
"11,7%"
"16,5%"
"4,20"
"4,40"
"6,0%"
"4,90"
"4,70"
"4,75"
"22,2%"
"27,5%"
"4,35"
"8,50"
"7,50"
"0,0%"
"0,0%"
"0,6%"
"0,7%"
"8,50"
"7,50"
"7,45"
"6,50"
"7,95"
"7,05"
"1,3%"
"1,4%"
"7,45"
"6,50"
"7,95"
"7,05"
"4,05"
"0,0%"
"3,70"
"4,40"
"4,10"
"3,65"
"4,35"
"1,3%"
"3,8%"
"6,30"
"5,60"
"6,70"
"5,95"
"0,0%"
"0,0%"
"0,0%"
"0,0%"
"0,8%"
"0,8%"
"6,30"
"5,60"
"6,70"
"5,95"
"7,25"
"6,45"
"7,25"
"6,45"
"3,05"
"0,0%"
"0,0%"
"0,0%"
"2,20"
"3,10"
"2,70"
"2,15"
"2,65"
"6,30"
"8,00"
"0,0%"
"0,7%"
"6,30"
"8,00"
"7,15"
"1,4%"
"7,15"
"7,00"
"0,0%"
"0,8%"
"7,00"
"5,55"
"6,35"
"1,6%"
"5,55"
"6,35"
"4,20"
"2,90"
"3,80"
"2,45"
"0,0%"
"0,0%"
"4,20"
"2,90"
"3,80"
"2,45"
"3,55"
"2,15"
"1,3%"
"0,0%"
"4,1%"
"0,0%"
"3,55"
"2,15"
"5,30"
"3,50"
"4,80"
"2,95"
"0,0%"
"1,7%"
"0,0%"
"1,7%"
"-1,0%"
"1,7%"
"5,30"
"3,55"
"4,80"
"2,95"
"4,25"
"2,60"
"4,25"
"2,60"
"3,30"
"1,95"
"0,0%"
"2,4%"
"0,0%"
"2,4%"
"3,30"
"1,95"
