0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Julho 2024 -,(R$/kg) Preços Min Máx,,,,Médios (%) Variação Preços Mês 3 Meses 6 Meses,,,(R$/kg) Expectativas agosto para Min Máx Médio,,,
PEAD Industrial Região Sudeste -,,,,,,,,,,,
Pellet Natural PEAD,,,,,,,,,,,
Pellet PEAD Branco,,,,,,,,"6,95",,"8,00","7,65"
Pellet Colorido PEAD,,,,,,,,,,,
Apara PEAD,,,,,,,,,,,
Pós-Consumo Sudeste PEAD Região -,,,,,,,,,,,
Pellet Canela PEAD Pellet Colorido PEAD,"6,45 5,40",,"7,50 6,45","6,90 5,90","1,5% 1,7%","2,2% 1,7%","2,2% 1,7%","6,95 5,90",,"7,60 6,55","7,00 6,00"
Pellet PEAD Preto,"5,25",,"5,80","5,45","1,9%","1,9%","1,9%","5,35",,"5,90","5,99"
Geral Sucata PEAD,"2,85",,"3,70",“330,"3,1%","E 6,5%","4,8%","2,95",,"3,85","3,45"
Sucata Sopro PEAD Branco,"4,00",,"5,10","4,55","2,2%","8,3%","8,3%","4,10",,"5,20","4,65"
Colorido Sucata Sopro PEAD,"3,95",,"4,15","3,95","5,3%","8,2%","6,8%","3,65",,"4,25","4,05"
Colorido Sucata PEAD Caixaria,"5,30",,"6,30","5,80","0,0%","3,6%","1,8%","5,30",,"6,30","5,80"
Sucata PEAD Caixaria Preto,"5,10",,"5,90","5,50","0,0%","3,8%","1,9%","5,10",,"5,90","5,50"
PEAD Industrial Região Sul -,,,,,,,,,,,
Pellet Natural/Branco PEAD,"7,20",,850,"7,70","1,3%","1,3%","4,1%","7,30",,"8,60","7,80"
Pellet Colorido PEAD,"6,25",,"7,10","6,60","1,5%","1,5%","4,8%","6,35",,"7,20","6,70"
PEAD Pós-Consumo Região Sul -,,,,,,,,,,,
Pellet Canela PEAD,"6,05",,"7,05","6,35","0,0%","0,0%","0,0%","6,15",,"7,20","6,45"
Pellet Colorido/Preto PEAD,"4,90",,"6,25","5,40","0,0%","0,0%","0,0%","5,00",,"6,35","5,90"
