0,1,2,3,4,5,6,7,8,9,10,11
indices de preco da industria de reciclagem de r-PP,,,,,,,,,,,
Julho - 2024,Precos (RS/kg) Max Médio,,,,Variacao Precos Médios (%) 6 Meses 3 Meses Mes,,,Expectativas para agosto (Rs/kg) Min Max Médio,,,
PP Industrial - Regiao Sudeste,,,,,,,,,,,
PP Pellet Natural,"6,95",,"7,90","7,45","0,7%","1,4%","2,8%","7,05",,"8,00","7,55"
PP Pellet Branco,"6,25",,"7,20","6,75","0,7%","1,5%","3,1%","6,35",,"7,30","6,85"
PP Pellet Colorido,"5,60",,"6,50","6,10","0,8%","1,7%","3,4%","5,70",,"6,60","6,20"
Apara PP,"2,95",,"3,95","3,45","1,5%","4,5%","7,8%","3,05",,"4,05","3,55"
PP Pos-Consumo - Regiao Sudeste,,,,,,,,,,,
PP Pellet Canela PP Pellet Colorido,"4,95 4,50",,"6,05 5,20","5,55 4,90","0,0% 0,0%","0,0% 0,0%","0,9% 1,0%","5,00 4,55",,"6,10 5,25","5,60 4,95"
PP Pellet Preto,"3,65",,"4,65","4,15","0,0%","0,0%","1,2%","3,70",,"4,70","4,20"
Sucata PP Geral,"2,45",,"3,45","2,95","1,7%","1,7%","11,3%","2,50",,"3,50","3,00"
Sucata PP Rigido Branco,"4,00",,"4,95","4,40","2,3%","3,5%","7,3%","4,10",,"5,00","4,50"
Sucata PP Rigido Colorido,"3,55",,"4,20","3,90","5,4%","5,4%","11,4%","3,65",,"4,30","4,00"
Sucata PP Rigido Preto,"3,15",,"3,80","3,45","4,5%","4,5%","15,0%","3,25",,"3,90","3,55"
Sucata PP Rafia Clara,"2,35",,"2,90","2,60","-3,7%","-5,5%","-13,3%","2,35",,"2,90","2,60"
Sucata PP Rafia Escura,"1,60",,"2,40","2,05","-8,9%","-6,8%","-12,8%","1,60",,"2,40","2,05"
PP Industrial - Regiao Sul,,,,,,,,,,,
PP Pellet Natural/Branco,"6,45",,"7,.75","7,15","0,7%","1,4%","2,9%","6,55",,"7,85","7,25"
PP Pellet Colorido,"5,35",,"6,30","5,80","0,9%","1,8%","3,6%","5,45",,"6,40","5,90"
PP Pos-Consumo - Regiao Sul,,,,,,,,,,,
PP Pellet Canela,"4,75",,"5,85","5,30","0,0%","0,0%","0,0%","4,80",,"5,90","5,35"
PP Pellet Colorido/Preto,"3,45",,"4,90","4,15","0,0%","0,0%","0,0%","3,50",,"4,95","4,20"
