0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,,,,,,,,,
PET Região Sudeste -,,,,,,,,,,,
Pellet Alimentício PET Grau,"8,40",,"9,50","8,90","2,3%","3,5%","6,0%","8,60",,"9,70","9,00"
Pellet Cristalizado PET,"7,90",,"8,75","8,30","1,8%","1,2%","3,8%","8,00",,"8,90","8,45"
Flake Cristal PET Flake Verde PET,"6,40 6,25",,"7,10 6,90","6,80 6,60","4,6% 4,8%","10,6% 10,0%","17,2% 17,9%","6,55 6,40",,"7,25 7,20","6,95 6,80"
Sucata PET,"4,20",,"4,80","4,45","6,0%","20,3%","23,6%","4,40",,"5,00","4,75"
PET Região Sul -,,,,,,,,,,,
Flake Cristal PET Flake Verde PET,"6,40 6,20",,"7,00 6,80","6,80 6,50","4,6% 4,0%","10,6% 12,1%","19,3% 20,4%","6,50 6,30",,"7,20 7,00","6,95 6,65"
Sucata PET,"4,10",,"4,60","4,40","11,4%","25,7%","46,7%","4,30",,"4,85","4,60"
PET- Região Norte/Nordeste,,,,,,,,,,,
Flake Cristal PET,"6,40",,"6,95","6,70","4,7%","11,7%","16,5%","6,50",,"7,10","6,90"
Sucata PET,"4,20",,"4,75","4,40","6,0%","22,2%","27,5%","4,35",,"4,90","4,70"
