cluster,material_base,state,n_obs,fair_buy_Q1,fair_target,fair_sell_Q3,heterogeneity,n_products,n_months,emitter_sector,receiver_sector,top_products,quality
BOPP/RAFIA,BOPP/RAFIA,MG,17,0.2,0.2,0.2,0.06,1,13,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE RAFIA,D (insuficiente)
BOPP/RAFIA,BOPP/RAFIA,PR,185,0.2,0.3,0.4,0.337,2,36,COOPERATIVA,COLETA_RECICLAGEM,"PP RAFIA, SUCATA DE RAFIA",B (bom)
BOPP/RAFIA,BOPP/RAFIA,RS,14,0.062,0.11,0.188,0.576,2,9,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"SUCATA DE RAFIA, PP RAFIA",D (insuficiente)
BOPP/RAFIA,BOPP/RAFIA,SC,136,0.5,0.65,0.65,0.13,1,32,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE RAFIA,A (excelente)
BOPP/RAFIA,BOPP/RAFIA,SP,65,0.1,0.3,0.3,0.479,1,25,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE RAFIA,B (bom)
METAIS_DIVERSOS,OUTROS,DF,13,5.0,5.7,6.591,0.488,1,9,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE LATINHAS,D (insuficiente)
METAIS_DIVERSOS,OUTROS,ES,456,7.39,8.84,11.93,0.283,2,35,COMERCIO_ATACADO,INDUSTRIA,"SUCATA DE LATINHAS, SUCATA DE PLASTICO",A (excelente)
METAIS_DIVERSOS,OUTROS,GO,293,7.78,8.03,13.52,0.312,2,17,COLETA_RECICLAGEM,INDUSTRIA,"SUCATA DE LATINHAS, SUCATA DE PLASTICO",B (bom)
METAIS_DIVERSOS,OUTROS,MG,55,4.55,4.95,5.0,0.078,2,14,COOPERATIVA,COLETA_RECICLAGEM,"SUCATA DE PLASTICO, SUCATA DE LATINHAS",B (bom)
METAIS_DIVERSOS,OUTROS,MS,125,10.3,11.0,12.2,0.186,1,25,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS,OUTROS,PR,175,5.12,6.0,7.1,0.32,1,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE LATINHAS,B (bom)
METAIS_DIVERSOS,OUTROS,RJ,314,8.07,10.11,10.68,0.205,2,29,COLETA_RECICLAGEM,INDUSTRIA,"SUCATA DE LATINHAS, SUCATA DE PLASTICO",A (excelente)
METAIS_DIVERSOS,OUTROS,RN,24,9.7,10.1,11.025,0.083,1,12,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE LATINHAS,C (razoável)
METAIS_DIVERSOS,OUTROS,SP,173,5.3,6.0,9.0,0.301,3,36,COMERCIO_ATACADO,COMERCIO_ATACADO,"SUCATA DE LATINHAS, SUCATA DE PLASTICO, SUCATA DE AEROSOL",B (bom)
OUTROS_PLASTICOS_MISTOS,OUTROS,AL,28,0.5,0.5,0.5,0.0,1,8,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,AM,10,0.113,0.175,0.2,0.287,2,5,COOPERATIVA,COMERCIO,"PLASTICOS DIVERSOS, SUCATA DE PLASTICO",D (insuficiente)
OUTROS_PLASTICOS_MISTOS,OUTROS,BA,372,0.6,1.6,1.6,0.598,1,34,COLETA_RECICLAGEM,OUTROS_SETOR,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,CE,100,0.4,1.355,2.2,0.718,1,19,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,DF,15,0.075,0.1,0.1,0.276,1,4,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE PLASTICO,D (insuficiente)
OUTROS_PLASTICOS_MISTOS,OUTROS,ES,44,2.8,3.15,4.0,0.341,1,13,COMERCIO_ATACADO,OUTROS_SETOR,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,GO,166,0.1,0.5,0.85,1.044,1,30,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,MA,79,0.2,0.4,0.5,0.552,1,25,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,MG,751,0.425,1.0,2.0,0.851,2,36,COOPERATIVA,COLETA_RECICLAGEM,"SUCATA DE PLASTICO, PLASTICOS DIVERSOS",C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,MS,141,0.45,1.15,1.58,0.469,2,28,COMERCIO_ATACADO,COLETA_RECICLAGEM,"SUCATA DE PLASTICO, PLASTICOS DIVERSOS",B (bom)
OUTROS_PLASTICOS_MISTOS,OUTROS,MT,144,0.34,0.34,0.34,0.074,1,25,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE PLASTICO,A (excelente)
OUTROS_PLASTICOS_MISTOS,OUTROS,PA,34,0.45,0.9,1.2,0.466,1,17,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,PB,66,0.2,0.2,2.4,1.021,1,15,COMERCIO_ATACADO,INDUSTRIA,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,PE,16,0.575,0.8,0.8,0.271,1,7,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PLASTICO,D (insuficiente)
OUTROS_PLASTICOS_MISTOS,OUTROS,PI,42,0.2,0.2,0.22,0.474,1,24,COMERCIO_ATACADO,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,PR,59,0.05,0.05,0.2,1.653,1,23,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,RJ,117,0.1,0.3,0.8,1.072,1,25,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,RN,63,0.5,0.8,1.5,0.689,1,26,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,RS,223,0.26,0.4,1.0,0.835,1,35,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,SC,181,0.7,1.0,1.6,0.57,1,26,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,SE,51,0.2,0.2,0.2,1.564,1,19,COMERCIO_ATACADO,COMERCIO,SUCATA DE PLASTICO,C (razoável)
OUTROS_PLASTICOS_MISTOS,OUTROS,SP,419,0.1,0.4,1.645,1.076,1,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PLASTICO,C (razoável)
OUTROS_RESIDUAL,OUTROS,BA,5,0.5,0.5,0.5,0.639,1,4,COMERCIO_ATACADO,COMERCIO_ATACADO,SUCATA DE BALDE BACIA PRETO,D (insuficiente)
OUTROS_RESIDUAL,OUTROS,CE,6,1.875,2.4,2.4,0.167,1,2,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE BALDE BACIA PRETO,D (insuficiente)
OUTROS_RESIDUAL,OUTROS,GO,9,0.5,0.5,1.0,0.455,1,5,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE BALDE BACIA PRETO,D (insuficiente)
OUTROS_RESIDUAL,OUTROS,MG,23,0.6,1.1,1.5,0.416,1,14,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE BALDE BACIA PRETO,C (razoável)
