cluster,material_base,state,n_obs,n_months,n_products,fair_buy_Q1,fair_target,fair_sell_Q3,lag_3m_prediction,heterogeneity,emitter_sector,receiver_sector,top_products,quality
BOPP/RAFIA::PP RAFIA,BOPP/RAFIA,PR,129,35,1,0.2,0.3,0.4,0.35,0.337,COOPERATIVA,COLETA_RECICLAGEM,PP RAFIA,B (bom)
BOPP/RAFIA::SUCATA DE RAFIA,BOPP/RAFIA,MG,16,13,1,0.2,0.2,0.2,0.2,0.0,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE RAFIA,D (insuficiente)
BOPP/RAFIA::SUCATA DE RAFIA,BOPP/RAFIA,PR,56,27,1,0.2,0.3,0.362,0.35,0.332,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE RAFIA,B (bom)
BOPP/RAFIA::SUCATA DE RAFIA,BOPP/RAFIA,RS,12,7,1,0.05,0.1,0.15,0.15,0.507,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE RAFIA,D (insuficiente)
BOPP/RAFIA::SUCATA DE RAFIA,BOPP/RAFIA,SC,136,32,1,0.5,0.65,0.65,0.65,0.13,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE RAFIA,A (excelente)
BOPP/RAFIA::SUCATA DE RAFIA,BOPP/RAFIA,SP,65,25,1,0.1,0.3,0.3,0.3,0.479,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE RAFIA,B (bom)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,BA,43,21,1,4.65,7.0,9.0,9.0,0.304,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE LATINHAS,C (razoável)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,CE,6,4,1,6.025,6.1,6.25,6.1,0.027,COMERCIO_ATACADO,COMERCIO_ATACADO,SUCATA DE LATINHAS,D (insuficiente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,DF,10,7,1,5.125,5.7,6.443,6.594,0.203,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE LATINHAS,D (insuficiente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,ES,380,35,1,7.73,9.89,12.16,11.7,0.226,COMERCIO_ATACADO,INDUSTRIA,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,GO,275,13,1,7.95,8.07,13.52,9.5,0.279,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,MA,8,5,1,10.2,10.5,10.525,10.2,0.028,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE LATINHAS,D (insuficiente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,MG,26,16,1,6.0,6.0,8.25,9.5,0.302,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE LATINHAS,C (razoável)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,MS,113,21,1,10.5,11.4,12.2,11.0,0.119,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,PR,166,36,1,5.013,5.95,6.474,8.0,0.293,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,RJ,310,29,1,8.07,10.11,10.68,10.5,0.179,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,RN,24,12,1,9.7,10.1,11.025,9.6,0.083,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE LATINHAS,C (razoável)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,RS,28,21,1,6.5,8.25,9.25,9.6,0.226,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE LATINHAS,C (razoável)
METAIS_DIVERSOS::SUCATA DE LATINHAS,OUTROS,SP,101,32,1,7.5,8.7,10.0,9.0,0.211,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE LATINHAS,A (excelente)
METAIS_DIVERSOS::SUCATA DE PLASTICO,OUTROS,ES,76,9,1,5.2,5.7,6.175,6.0,0.102,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE PLASTICO,B (bom)
METAIS_DIVERSOS::SUCATA DE PLASTICO,OUTROS,GO,15,6,1,4.4,4.4,4.4,4.4,0.0,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE PLASTICO,D (insuficiente)
METAIS_DIVERSOS::SUCATA DE PLASTICO,OUTROS,MG,79,12,1,4.9,5.0,5.7,4.28,0.106,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PLASTICO,B (bom)
METAIS_DIVERSOS::SUCATA DE PLASTICO,OUTROS,MT,5,5,1,4.15,4.15,4.15,4.15,0.0,COMERCIO_ATACADO,INDUSTRIA,SUCATA DE PLASTICO,D (insuficiente)
METAIS_DIVERSOS::SUCATA DE PLASTICO,OUTROS,SP,65,26,1,5.2,5.3,5.5,5.3,0.058,COMERCIO_ATACADO,INDUSTRIA,SUCATA DE PLASTICO,B (bom)
OUTROS_PLASTICOS_MISTOS::PLASTICOS DIVERSOS,OUTROS,AM,8,5,1,0.138,0.175,0.225,0.15,0.422,COOPERATIVA,COLETA_RECICLAGEM,PLASTICOS DIVERSOS,D (insuficiente)
OUTROS_PLASTICOS_MISTOS::PLASTICOS DIVERSOS,OUTROS,MG,48,15,1,0.798,0.933,1.135,1.238,0.238,COLETA_RECICLAGEM,COMERCIO_ATACADO,PLASTICOS DIVERSOS,C (razoável)
OUTROS_PLASTICOS_MISTOS::PLASTICOS DIVERSOS,OUTROS,MS,6,6,1,1.15,1.15,1.15,1.15,0.0,COOPERATIVA,COLETA_RECICLAGEM,PLASTICOS DIVERSOS,D (insuficiente)
OUTROS_PLASTICOS_MISTOS::SUCATA DE PLASTICO,OUTROS,AL,28,8,1,0.5,0.5,0.5,0.5,0.0,COLETA_RECICLAGEM,INDUSTRIA,SUCATA DE PLASTICO,C (razoável)
