nome,receita_total,quantidade_total,num_pedidos_unicos,primeira_venda,ultima_venda,valor_unitario_medio,ticket_medio,qtd_media_por_pedido,period_start,period_end,frequencia_pedidos_mes,recencia_dias,score_r,score_f,score_m,cluster_score,cluster_tier
-F-SUCATA APARAS PAPEL BRANCO,2088.0,2088.0,1,2024-10-25T19:20:00+00:00,2024-10-25T19:20:00+00:00,1.0,2088.0,2088.0,2024-10-25T19:20:00+00:00,2024-10-25T19:20:00+00:00,1.0,0.0,100.0,0.7315481740375824,0.0021534700696879644,20.29348065764291,B
-F-SUCATA PLASTICO FILME COLORID,890.0,890.0,1,2024-10-21T12:56:00+00:00,2024-10-21T12:56:00+00:00,1.0,890.0,890.0,2024-10-21T12:56:00+00:00,2024-10-21T12:56:00+00:00,1.0,0.0,100.0,0.7315481740375824,0.0009179063036505211,20.292986432136495,B
-F-SUCATA PLASTICO PEAD COLORIDO,2006.0,680.0,1,2024-10-25T19:20:00+00:00,2024-10-25T19:20:00+00:00,2.95,2006.0,680.0,2024-10-25T19:20:00+00:00,2024-10-25T19:20:00+00:00,1.0,0.0,100.0,0.7315481740375824,0.002068898927104433,20.293446829185875,B
-S JORNAL I,418.13,306.25,2,2025-03-14T15:13:45+00:00,2025-03-14T16:27:56+00:00,126.375,209.065,153.125,2025-03-14T15:13:45+00:00,2025-03-14T16:27:56+00:00,2.0,0.0,100.0,1.4630963480751649,0.0004312406322981937,20.585411035482984,A
-SUCATA PLASTICO DE COPINHO,91.0,130.0,1,2024-12-03T20:09:00+00:00,2024-12-03T20:09:00+00:00,0.7000000000000001,91.0,130.0,2024-12-03T20:09:00+00:00,2024-12-03T20:09:00+00:00,1.0,0.0,100.0,0.7315481740375824,9.385334115977239e-05,20.2926568109515,C
0001,2000.0,20000.0,1,2022-03-25T20:57:00+00:00,2022-03-25T20:57:00+00:00,0.1,2000.0,20000.0,2022-03-25T20:57:00+00:00,2022-03-25T20:57:00+00:00,1.0,0.0,100.0,0.7315481740375824,0.002062710794720272,20.293444353932923,B
1-S-SUCATA DE PAPELAO,24511.1,74517.0,8,2022-12-01T21:00:48+00:00,2024-06-04T13:06:22+00:00,0.325,3063.8875,9314.625,2022-12-01T21:00:48+00:00,2024-06-04T13:06:22+00:00,0.4427636363636364,78.28571428571429,95.03892811877603,0.32390292971205836,0.025279655280234032,19.147458657752125,D
101-S-SUCATA DE PEAD,8832.8,6161.0,5,2022-12-01T21:00:48+00:00,2024-04-23T22:26:38+00:00,1.48,1766.56,1232.2,2022-12-01T21:00:48+00:00,2024-04-23T22:26:38+00:00,0.2990176817288802,126.75,91.96768060836501,0.21874583907371328,0.00910975595380261,18.484678359684015,D
104-Porca sextavada m�trica Classe10 chave27 MB18-1.50-Enegrecido de temperatura PED. REX:9215691 PED CLI: SEQ CLI,86.87,1.0,1,2025-05-07T17:38:00+00:00,2025-05-07T17:38:00+00:00,86.87,86.87,1.0,2025-05-07T17:38:00+00:00,2025-05-07T17:38:00+00:00,1.0,0.0,100.0,0.7315481740375824,8.959384336867503e-05,20.29265510715238,C
2.16146 PEDAL ACELERADOR ELETRONICO CONECTOR 6 PINOS QUADRADOS,1340.0,1.0,1,2024-08-26T17:28:29+00:00,2024-08-26T17:28:29+00:00,1340.0,1340.0,1.0,2024-08-26T17:28:29+00:00,2024-08-26T17:28:29+00:00,1.0,0.0,100.0,0.7315481740375824,0.0013820162324625824,20.293172076108018,B
