nome,receita_total,quantidade_total,num_pedidos_unicos,primeira_venda,ultima_venda,valor_unitario_medio,emitter_cnpj,ticket_medio,qtd_media_por_pedido,period_start,period_end,frequencia_pedidos_mes,recencia_dias,score_r,score_f,score_m,cluster_score,cluster_tier
3 RS SOLUCOES SUSTENTAVEIS ASSOCIACAO DE CATADORES DE MATERI,371366.77,687766.49,14,2024-12-04T17:50:50+00:00,2025-04-23T16:43:45+00:00,9.64,42533785000108,26526.19785714286,49126.17785714286,2024-12-04T17:50:50+00:00,2025-04-23T16:43:45+00:00,3.0658992805755396,10.538461538461538,98.52608929532006,1.9653200516509868,0.5971343780545025,20.73019963094621,C
3I GESTAO AMBIENTAL LTDA,442353.25,232635.0,66,2023-01-12T12:32:06+00:00,2024-12-23T16:47:56+00:00,3.532138125827814,39852840000118,6702.32196969697,3524.7727272727275,2023-01-12T12:32:06+00:00,2024-12-23T16:47:56+00:00,2.8256540084388186,4.533333333333333,99.36596736596736,1.811316672076166,0.71127616727565,20.8822306089342,C
3R'S - ASSOCIA��O DE CATADORES DE MATERIAIS RECICL�VEIS,83433.8,337843.0,34,2022-05-11T20:33:00+00:00,2023-07-31T19:47:00+00:00,0.27875,34030800000177,2453.935294117647,9936.558823529413,2022-05-11T20:33:00+00:00,2023-07-31T19:47:00+00:00,2.325752808988764,7.872727272727273,98.89891926255562,1.4908671852492077,0.13415629586816222,20.429793244958077,C
3RS - ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS,144652.5,335380.0,33,2023-08-30T20:28:59+00:00,2024-12-27T18:15:01+00:00,1.047283496736905,34030800000177,4383.409090909091,10163.030303030304,2023-08-30T20:28:59+00:00,2024-12-27T18:15:01+00:00,2.0754545454545457,5.72289156626506,99.19959558513776,1.3304195804195804,0.23259211000900515,20.465123793198988,C
ACOBRAZ - ASSOCIACAO DOS CATADORES E RECICLADORES DE RESIDUO,332194.51,863518.09,96,2023-01-06T21:46:25+00:00,2024-12-31T20:19:17+00:00,32.3366507497359,2982864000181,3460.359479166667,8994.980104166667,2023-01-06T21:46:25+00:00,2024-12-31T20:19:17+00:00,4.036243093922652,2.577205882352941,99.63955162484575,2.587335316617084,0.534147850982925,21.176503592009155,B
ACRECAMPO - ASSOCIACAO DOS CATADORES DE MATERIAIS,104336.66,149774.6,41,2023-04-25T17:46:00+00:00,2024-02-29T21:08:00+00:00,2.5150607287449396,47368239000182,2544.796585365854,3653.039024390244,2023-04-25T17:46:00+00:00,2024-02-29T21:08:00+00:00,4.025935483870968,1.2357723577235773,99.82716470521349,2.5807278742762616,0.1677667783183296,21.064830802080536,B
ACTION SHOP SERVICOS AMBIENTAIS LTDA,7560.0,28.0,2,2019-12-12T18:28:00+00:00,2020-03-17T10:30:00+00:00,270.0,3429430000111,3780.0,14.0,2019-12-12T18:28:00+00:00,2020-03-17T10:30:00+00:00,0.6408421052631579,95.0,86.7132867132867,0.4107962213225371,0.012156003882878479,17.51183823273951,D
AJ INDUSTRIA E COMERCIO DE METAIS LTDA,21637102.45,2272201.5,135,2023-06-01T14:24:46+00:00,2024-12-30T12:38:08+00:00,73.51341939696775,8651435000108,160274.83296296294,16831.12222222222,2023-06-01T14:24:46+00:00,2024-12-30T12:38:08+00:00,7.1220103986135195,3.4805194805194803,99.51321405866861,4.565391281162513,34.791098068312095,35.64523855152357,A
AJUMETAIS INDUSTRIA LTDA,1287575.55,120762.5,5,2024-01-12T04:31:59+00:00,2024-12-30T19:13:56+00:00,11.2,41866172000120,257515.11000000002,24152.5,2024-01-12T04:31:59+00:00,2024-12-30T19:13:56+00:00,0.4311614730878187,39.111111111111114,94.52991452991452,0.27638555967167866,2.0703403948808723,19.84467328780393,D
ALL GREEN GERENCIAMENTO DE RESIDUOS LTDA,20397961.19,10945695.5071,933,2023-01-25T15:08:00+00:00,2024-12-26T19:33:08+00:00,432.13156365240474,45433184000111,21862.766548767417,11731.720800750267,2023-01-25T15:08:00+00:00,2024-12-26T19:33:08+00:00,40.51429386590585,0.4481409001956947,99.93732295102159,25.970701196093493,32.79863696143446,43.4951998532155,A
