order_id,data_transacao,quantidade,valor_unitario,valor_total_emitter,receiver_cpf_cnpj,emitter_cnpj,raw_product_description
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,2209.0,0.3,662.7,4987854000164.0,44920570000175,SUCATA PEBD COLORIDO FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,141.0,0.8,112.8,4987854000164.0,44920570000175,SUCATA PP COLORIDO FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,342.0,0.8,273.6,4987854000164.0,44920570000175,SUCATA DE PP COLORIDO FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,102.0,1.0,102.0,4987854000164.0,44920570000175,SUCATA DE PP BRANCO FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,1097.0,1.2,1316.4,4987854000164.0,44920570000175,SUCATA PEBD CRISTAL FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,212.0,1.5,318.0,4987854000164.0,44920570000175,SUCATA DE PP TAMPA SOLTO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,405.0,1.5,607.5,4987854000164.0,44920570000175,SUCATA PP CRISTAL FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,73.0,2.2,160.6,4987854000164.0,44920570000175,SUCATA PEAD BRANCO SOLTO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,596.0,2.4,1430.4,4987854000164.0,44920570000175,SUCATA PEAD COLORIDO FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,832.0,2.4,1996.8,4987854000164.0,44920570000175,SUCATA PEAD BRANCO FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,299.0,3.3,986.7,4987854000164.0,44920570000175,SUCATA PET VERDE FARDO
d81ff856-bd63-4945-bfc8-e7afda8c2eeb,2025-07-28T20:30:00+00:00,2307.0,3.5,8074.5,4987854000164.0,44920570000175,SUCATA PET CRISTAL FARDO
47cecaf9-3fab-4ef2-ba4f-e1041645ac68,2025-07-29T17:00:00+00:00,2209.0,0.3,662.7,4987854000164.0,44920570000175,SUCATA PEBD COLORIDO FARDO
47cecaf9-3fab-4ef2-ba4f-e1041645ac68,2025-07-29T17:00:00+00:00,141.0,0.8,112.8,4987854000164.0,44920570000175,SUCATA DE PP COLORIDO SOLTO
47cecaf9-3fab-4ef2-ba4f-e1041645ac68,2025-07-29T17:00:00+00:00,102.0,1.0,102.0,4987854000164.0,44920570000175,SUCATA DE PP BRANCO FARDO
