test_id,data,hora,nome_fantasia,message
1000,06/08/25,11:10:41,interlocutor_4,130k
1001,06/08/25,11:10:46,interlocutor_4,cotação pfvr?
1002,06/08/25,11:11:06,interlocutor_7,4930
1003,06/08/25,11:11:39,interlocutor_7,<LOCATION>
1004,06/08/25,11:12:12,interlocutor_4,fecha
1005,06/08/25,11:12:24,interlocutor_7,<LOCATION>
1006,06/08/25,11:13:31,interlocutor_7,"BRL 714,090.00 // USDT 130.000"
1007,06/08/25,11:40:19,interlocutor_4,Tem como liquidar mais 100k?
1008,06/08/25,11:40:36,interlocutor_7,tem sim
1009,06/08/25,11:40:39,interlocutor_7,<PERSON> enviamos
1010,06/08/25,11:40:44,interlocutor_4,Obrigado
1011,06/08/25,11:41:11,interlocutor_7,"saldo att: -BRL 849,690.00"
1012,06/08/25,11:48:03,interlocutor_4,"Quando puder mandar a cripto, agradeço ‎<This message was edited>"
1013,06/08/25,11:48:15,interlocutor_6,6022bfa818b31e13de16eb848bf659cb3735ed2c827237b9f04459acbc9b4474
1014,06/08/25,11:48:17,interlocutor_6,100.000
1015,06/08/25,11:48:22,interlocutor_4,Obrigado!
1016,06/08/25,12:39:33,interlocutor_4,"Pessoal, quanto falta pra liquidar mais uma de 100k?"
1017,06/08/25,12:39:47,interlocutor_7,1sec
1018,06/08/25,12:40:30,interlocutor_4,<LOCATION> o que der por favor.
1019,06/08/25,12:40:52,interlocutor_4,"Já foi 350, falta uma de 100 e outra de 130 ‎<This message was edited>"
1020,06/08/25,12:41:19,interlocutor_7,mandar mais 100 aí
1021,06/08/25,12:41:31,interlocutor_4,Valeu!
1022,06/08/25,12:43:03,interlocutor_6,864ce427cd193fe615b9369032857c070eb92b6cff414516df2aa12e360bb1c0
1023,06/08/25,12:43:04,interlocutor_6,100.000
1024,06/08/25,13:38:37,interlocutor_4,"Cota 44.176,00"
1025,06/08/25,13:39:03,interlocutor_7,opa
1026,06/08/25,13:39:09,interlocutor_4,Cotação pfvr
1027,06/08/25,13:39:32,interlocutor_7,4985
1028,06/08/25,13:40:10,interlocutor_7,<LOCATION>
1029,06/08/25,13:40:18,interlocutor_4,Já passei
1030,06/08/25,13:40:25,interlocutor_7,ok
1031,06/08/25,13:41:02,interlocutor_4,fecha
1032,06/08/25,13:41:20,interlocutor_7,<LOCATION>
1033,06/08/25,13:42:22,interlocutor_7,"BRL 242,901.74 // USDT 44.176"
1034,06/08/25,13:45:20,interlocutor_7,"saldo: -BRL 802,591.73"
1035,06/08/25,13:53:35,interlocutor_4,Ok
1036,06/08/25,14:20:45,interlocutor_4,‎This message was deleted.
1037,06/08/25,14:20:49,interlocutor_4,‎This message was deleted.
1038,06/08/25,14:21:02,interlocutor_4,Off
1039,06/08/25,15:00:06,interlocutor_6,<LOCATION> consegue liquidar o restante?
1040,06/08/25,15:00:39,interlocutor_4,1 min
1041,06/08/25,15:17:53,interlocutor_7,<LOCATION>  teria interesse em 200k a 5.4770 ?
1042,06/08/25,15:18:20,interlocutor_4,Conseguem liquidar mais?
1043,06/08/25,15:19:56,interlocutor_4,Devo quanto pra você?
1044,06/08/25,15:20:04,interlocutor_7,"-BRL 502,591.73"
1045,06/08/25,15:20:16,interlocutor_4,Mesmo com esses 300?
1046,06/08/25,15:20:31,interlocutor_7,sim
1047,06/08/25,15:21:03,interlocutor_7,viu ai ?
1048,06/08/25,15:21:39,interlocutor_4,Preciso liquidar primeiro.
1049,06/08/25,15:21:47,interlocutor_7,off
1050,06/08/25,15:21:49,interlocutor_7,beleza
1051,06/08/25,15:23:48,interlocutor_6,1d41fd1bc7429724ff30944831cc9f07274836bac88dcea226e4901a32320488
1052,06/08/25,15:23:50,interlocutor_6,44.176
1053,06/08/25,15:34:06,interlocutor_4,Tem como dar um double check nesse valor aqui? ‎<This message was edited>
1054,06/08/25,15:34:15,interlocutor_7,tem sim
1055,06/08/25,15:34:17,interlocutor_7,1 min
1056,06/08/25,15:37:03,interlocutor_4,Não ta batendo aqui. ‎<This message was edited>
1057,06/08/25,15:39:01,interlocutor_7,"-BRL 12,591.73"
1058,06/08/25,15:39:06,interlocutor_4,Ah tah
1059,06/08/25,15:39:11,interlocutor_4,Que susto
1060,06/08/25,15:39:14,interlocutor_7,"Perdão, faltou contar uma de 490k"
1061,06/08/25,15:39:17,interlocutor_4,Manda tudo pfvr
1062,06/08/25,15:39:40,interlocutor_7,<PERSON> envio
1063,06/08/25,15:41:42,interlocutor_7,enviando 130k
1064,06/08/25,15:42:04,interlocutor_4,Ok
1065,06/08/25,15:42:47,interlocutor_6,3ac3a63b4d5868e0964fc6b305209be2081dbb53f45fe2971ae3493104618f0a
1066,06/08/25,15:42:49,interlocutor_6,130.000
1067,06/08/25,15:44:17,interlocutor_7,zeramos
1068,06/08/25,15:44:45,interlocutor_4,Ok
1069,07/08/25,09:08:04,interlocutor_4,"Bom dia, mesa on?"
1070,07/08/25,09:09:18,interlocutor_6,bom dia
1071,07/08/25,09:09:19,interlocutor_6,mesa on
1072,07/08/25,09:09:32,interlocutor_4,<LOCATION>.
1073,07/08/25,09:36:52,interlocutor_4,100k
1074,07/08/25,09:36:58,interlocutor_4,cotação
1075,07/08/25,09:37:11,interlocutor_7,1s
1076,07/08/25,09:37:58,interlocutor_7,4820
1077,07/08/25,09:38:03,interlocutor_7,<LOCATION>
1078,07/08/25,09:38:14,interlocutor_4,ok
1079,07/08/25,09:38:18,interlocutor_4,fecha
1080,07/08/25,09:39:09,interlocutor_7,<LOCATION>
1081,07/08/25,09:39:29,interlocutor_7,"BRL 548,200.00 // USDT 100.000"
1082,07/08/25,09:44:43,interlocutor_4,100k novamente
1083,07/08/25,09:44:54,interlocutor_4,rapidão <LOCATION>
1084,07/08/25,09:45:05,interlocutor_7,4810
1085,07/08/25,09:45:21,interlocutor_4,fecha
1086,07/08/25,09:45:26,interlocutor_7,<LOCATION>
1087,07/08/25,09:45:54,interlocutor_7,"BRL 548,100.00 // USDT 100.000"
1088,07/08/25,10:35:09,interlocutor_4,150k
1089,07/08/25,10:35:24,interlocutor_7,opa
1090,07/08/25,10:35:27,interlocutor_4,Me ajuda no preço
1091,07/08/25,10:35:32,interlocutor_7,1s
1092,07/08/25,10:36:17,interlocutor_4,Quanto
1093,07/08/25,10:36:22,interlocutor_7,4760
1094,07/08/25,10:36:38,interlocutor_4,1s
1095,07/08/25,10:37:19,interlocutor_7,4780
1096,07/08/25,10:38:17,interlocutor_4,Consegue apertar um pouco?
1097,07/08/25,10:38:58,interlocutor_7,4775
1098,07/08/25,10:39:18,interlocutor_4,‎This message was deleted.
1099,07/08/25,10:39:36,interlocutor_7,tinha fechado aqui
1100,07/08/25,10:39:42,interlocutor_4,<PERSON>
1101,07/08/25,10:40:47,interlocutor_7,"BRL 821,625.00 // USDT 150.000"
1102,07/08/25,10:46:05,interlocutor_4,"<PERSON>, eu tô precisando de um pouco mais de velocidade na hora de passar a cotação. Se tiver como, ajudaria bastante."
